#Digilent WaveForms Logger;;;;
#Device Name: Discovery;;;;
#Serial Number: SN:210244449844;;;;
#Date Time: 2017-02-04 17:52::30.935;;;;
;;;;
Time (s);C1 DC (V);C2 DC (V);Sense-Power (W);Current (A)
405;-0.003584868;12.59441968;1.17E-06;-0.000325897
406;-0.003849272;12.59502629;1.35E-06;-0.000349934
407;-0.003816114;12.59461104;1.32E-06;-0.000346919
408;-0.004023675;12.59506444;1.47E-06;-0.000365789
409;-0.003760133;12.59524674;1.29E-06;-0.00034183
410;-0.004038747;12.59485347;1.48E-06;-0.000367159
411;-0.003991593;12.5945604;1.45E-06;-0.000362872
412;-0.003950253;12.59453389;1.42E-06;-0.000359114
413;-0.003640204;12.59498406;1.20E-06;-0.000330928
414;-0.003614797;12.5951084;1.19E-06;-0.000328618
415;-0.003894057;12.59498643;1.38E-06;-0.000354005
416;-0.003633744;12.59538983;1.20E-06;-0.00033034
417;-0.003615873;12.59556503;1.19E-06;-0.000328716
418;-0.003790492;12.59509978;1.31E-06;-0.00034459
419;-0.004114967;12.594897;1.54E-06;-0.000374088
420;-0.003905684;12.59525622;1.39E-06;-0.000355062
421;-0.003971569;12.59476662;1.43E-06;-0.000361052
422;-0.003698338;12.59560812;1.24E-06;-0.000336213
423;-0.00350671;12.59543099;1.12E-06;-0.000318792
424;-0.003768315;12.59512326;1.29E-06;-0.000342574
425;-0.003901378;12.59533876;1.38E-06;-0.000354671
426;-0.003515323;12.59533897;1.12E-06;-0.000319575
427;-0.0038792;12.59548163;1.37E-06;-0.000352655
428;-0.004014201;12.59536591;1.46E-06;-0.000364927
429;-0.004437721;12.59523101;1.79E-06;-0.000403429
430;-0.004642483;12.59469637;1.96E-06;-0.000422044
431;-0.004240279;12.59469034;1.63E-06;-0.00038548
432;-0.004166642;12.59457203;1.58E-06;-0.000378786
433;-0.003712979;12.59539629;1.25E-06;-0.000337544
434;-0.003521997;12.5953978;1.13E-06;-0.000320182
435;-0.003474413;12.59562235;1.10E-06;-0.000315856
436;-0.003316374;12.59549391;1.00E-06;-0.000301489
437;-0.003403145;12.59492264;1.05E-06;-0.000309377
438;-0.003796736;12.59537798;1.31E-06;-0.000345158
439;-0.003925062;12.5954006;1.40E-06;-0.000356824
440;-0.003607907;12.59597834;1.18E-06;-0.000327992
441;-0.003749582;12.59559692;1.28E-06;-0.000340871
442;-0.00419614;12.5955827;1.60E-06;-0.000381467
443;-0.004163197;12.59572858;1.58E-06;-0.000378472
444;-0.003740539;12.59565898;1.27E-06;-0.000340049
445;-0.003964895;12.59576931;1.43E-06;-0.000360445
446;-0.004057264;12.59597899;1.50E-06;-0.000368842
447;-0.003728051;12.5954534;1.26E-06;-0.000338914
448;-0.003773913;12.59549025;1.29E-06;-0.000343083
449;-0.003382906;12.59585659;1.04E-06;-0.000307537
