#Digilent WaveForms Logger
#Device Name: Discovery
#Serial Number: SN:210244449844
#Date Time: 2017-02-06 09:28::28.907

Time (s),C1 DC (V),C2 DC (V),Sense-Power (W),Current (A),Battery Power (W)
230,0.067108412015318197,12.452987153798576,0.00040941263301979126,0.0061007647286652903,0.075972744794416319
231,0.068989811114873137,12.45289406085883,0.00043269036706053388,0.0062718010104430124,0.078102073553834195
232,0.069379957048541163,12.453196181927996,0.00043759804000521966,0.0063072688225946508,0.078545656019929203
233,0.069583211883744431,12.453778012802829,0.00044016576145982473,0.0063257465348858571,0.07877944311072517
234,0.068935121784218914,12.454118060625849,0.00043200463776409939,0.0062668292531108108,0.07804783138402574
235,0.067691908417221489,12.454669722492451,0.00041656313319686375,0.0061538098561110446,0.076643669292881855
236,0.067270326884037626,12.454708080231633,0.00041139062537138871,0.0061154842621852388,0.076166571254767876
237,0.068495023391047682,12.454730060509226,0.00042650620266728812,0.006226820308277062,0.07755336607488765
238,0.069495364454967748,12.454377083111723,0.00043905506188443583,0.0063177604049970684,0.078683770404586129
239,0.069816610444506697,12.454592145042502,0.00044312355399636372,0.0063469645858642452,0.079048855275967764
240,0.068516985248245718,12.454620159121609,0.00042677975159166555,0.0062288168407496104,0.077577547792276269
241,0.067287121245423298,12.454380530998439,0.00041159606231784502,0.0061170110223112088,0.076183582984175574
242,0.067123053253447085,12.453704314225346,0.00040959129800591758,0.0061020957503133714,0.075993696171493777
243,0.067772004602273048,12.454018071912419,0.0004175495098009563,0.0061610913274793679,0.076730342735130921
244,0.069132778498953482,12.453899119822232,0.00043448555118048767,0.0062847980453594075,0.078270240845362007
245,0.068814546881979924,12.454006866280729,0.00043049471477929214,0.0062558678983618112,0.07791062176074319
246,0.067903775745437531,12.453702590282319,0.00041917479640787912,0.0061730705223125024,0.076877584353718637
247,0.067076115166508049,12.453137136868838,0.00040901865689369556,0.0060978286515007314,0.075937096434266591
248,0.067284537497515146,12.452919489022459,0.00041156445329586564,0.0061167761361377408,0.07617172075569717
249,0.068315452911643829,12.45328324106668,0.00042427282786572959,0.0062104957192403477,0.07734106225913219
250,0.068763733173176911,12.451926066676901,0.00042985918181017005,0.0062512484702888097,0.077840083776463329
251,0.069190051577518522,12.452313953926586,0.00043520574884542483,0.0062900046888653199,0.078325113157421286
252,0.068642297021642332,12.453109984761522,0.00042834226730976071,0.0062402088201493032,0.077710006765198195
253,0.06747745734109821,12.453128086166359,0.00041392793174724801,0.0061343143037362012,0.076391401745229306
254,0.067262575640322772,12.452252753938692,0.00041129582561546743,0.0061147796036657067,0.07614278115947444
255,0.068543683976593772,12.452408339824055,0.00042711241937119614,0.0062312439978721608,0.077593994726581891
256,0.068917896798180001,12.452666069352736,0.00043178877264405356,0.0062652633452890908,0.078019232275440886
257,0.068950193646996352,12.452626849642192,0.00043219356399620872,0.0062681994224542134,0.078055548426965021
258,0.06806569061415646,12.452149317338536,0.00042117620352564241,0.0061877900558324058,0.077051285719567666
259,0.067119608256243496,12.452439801789895,0.00040954925567923548,0.0061017825687494087,0.075982080120962914
